clip_index,block_id,sentence_id,setting,words,weight,variants,still_cost,clip_cost,beat_cost,register,narration,phenomenon
1,1,S01,heavens,2,hero,4,0.32,0.42,0.74,awe,Twelve gates.,"{heavens}. The moon colossal, filling the entire frame -- and carved directly into its curved surface, a ranked row of vast open gateways of cut stone, each hundreds of miles across, hewn from the same rock as the moon itself, countable, receding around the limb. Blazing white-gold light raking across them, hard shadow in every opening."
2,1,S02,heavens,10,hero,4,0.32,0.42,0.74,awe,He counted twelve gates in the face of the moon.,"{heavens}. Pull-back scale: the same gates now tiny, the moon revealed as a whole world-sized object, one robed man a speck at the bottom edge. Brilliant clean light from the left, no murk."
3,1,S03,heavens,6,connective,2,0.16,0.42,0.58,fascination,Six where the light goes in —,"{heavens}. Low angle beneath one enormous gate mouth, light pouring inward past its rim in a hard column. Blazing white light, sharp shadow on the plated surface."
4,1,S03,heavens,6,connective,2,0.16,0.42,0.58,fascination,six where the light comes out.,"{heavens}. The opposite limb: light pouring outward from a gate in a broad shaft into open sky. Brilliant gold light, clean."
5,1,S04,heavens,8,connective,2,0.16,0.42,0.58,fascination,He wrote down the width of every one.,"{heavens}. A gate seen edge-on, its scale set by the man standing at its threshold, dwarfed. Hard bright daylight, the figure rim-lit."
6,1,S05,heavens,11,hero,4,0.32,0.42,0.74,awe,He wrote down the names of the beings who work them.,"{heavens}. An enormous armoured figure standing at the gateway's edge, one hand flat on the carved stone jamb, colossal, physically real with weight and shadow. Blazing backlight, the figure solid, no glow, no vapour."
7,1,S06,heavens,8,connective,2,0.16,0.42,0.58,fascination,And then he wrote down exactly how much,"{heavens}. The moon's face, a hard clean terminator across it, one exact portion in light. Brilliant white light from the left."
8,1,S06,heavens,5,connective,2,0.16,0.42,0.58,fascination,of the moon is lit,"{heavens}. Same moon, same angle, the lit portion visibly wider. Brilliant white light from the left."
9,1,S07,heavens,7,connective,2,0.16,0.42,0.58,fascination,on the first night — and the second —,"{heavens}. Same moon, same angle, the light further across, the terminator marching. Brilliant white light from the left."
10,1,S07,heavens,3,hero,4,0.32,0.42,0.74,awe,and the fourteenth.,"{heavens}. The moon full, the entire face blazing, filling the frame, the man a speck beneath it. Brilliant white-gold light, the moon the brightest thing in frame."
11,1,S08,chapel,6,hero,4,0.32,0.42,0.74,unease,Nobody does that to a vision.,"{chapel}. Extreme close on a ruled column of Ge'ez numerals, letters sharp and regular. One hard blade of white highland daylight directly across it."
12,1,S09,heavens,6,hero,4,0.32,0.42,0.74,unease,You do that to a machine.,"{heavens}. Wide: the moon as an engineered body, plated and seamed and ranked with gates, hanging in bright open sky. Blazing clean light, hard edges, no haze."
13,1,S10,highland,8,connective,2,0.16,0.42,0.58,wonder,"Three thousand years ago, a man walked out","{highland}. Vast Ethiopian highland escarpment, a single robed figure tiny on the rim, the land falling away for miles. Blazing clean morning light, long shadows across the rock."
14,1,S10,highland,8,connective,2,0.16,0.42,0.58,wonder,of the ordinary world — and was taken up,"{highland}. Low angle: the figure against a huge bright sky, arms at his sides, the land gone below the frame. Brilliant white daylight from above."
15,1,S10,heavens,6,connective,2,0.16,0.42,0.58,awe,"past the weather, past the stars —","{heavens}. The man rising, cloud layers ranked beneath him receding to the curve of the earth. Brilliant light above, bright cloud below, crisp detail."
16,1,S10,heavens,9,hero,4,0.32,0.42,0.74,awe,to where the machinery of the sky is kept.,"{heavens}. Colossal ordered architecture filling the sky -- ranked openings, ruled edges, physical mass and shadow, the man a speck at the bottom edge. Blazing clean light, sharp, no vapour."
